nm	Orig	F5		
487.6	0.01675	0.00252		
487.5	0.0335	0.00503		
487.4	0.02513	0.00252		
487.3	0.02513	0.00755		
487.2	0.01675	0.00755		
487.1	0.04188	0.01258		
487	0.02513	0.02012		
486.9	0.05025	0.02012		
486.8	0.0335	0.01761		
486.7	0.0335	0.02515		
486.6	0.04188	0.02012		
486.5	0.04188	0.02012		
486.4	0.04188	0.02767		
486.3	0.04188	0.02767		
486.2	0.02513	0.02264		
486.1	0.04188	0.02515		
486	0.05863	0.02767		
485.9	0.24288	0.02515		
485.8	0.04188	0.02264		
485.7	0.1005	0.02767		
485.6	0.067	0.03521		
485.5	0.067	0.02264		
485.4	0.23451	0.04024		
485.3	0.09213	0.03773		
485.2	0.08375	0.11066		
485.1	0.10888	0.03521		
485	0.08375	0.03521		
484.9	0.10888	0.04276		
484.8	0.1005	0.04024		
484.7	0.13401	0.04527		
484.6	0.12563	0.04276		
484.5	0.12563	0.04527		
484.4	0.1005	0.05533		
484.3	0.12563	0.06791		
484.2	0.16751	0.06791		
484.1	0.18426	0.06288		
484	0.15076	0.06288		
483.9	0.19263	0.07042		
483.8	0.16751	0.06036		
483.7	0.15076	0.07042		
483.6	0.17588	0.07042		
483.5	0.21776	0.07294		
483.4	0.25964	0.08048		
483.3	0.22613	0.1006		
483.2	0.25126	0.07545		
483.1	0.23451	0.07545		
483	0.25964	0.09557		
482.9	0.28476	0.10312		
482.8	0.27639	0.10815		
482.7	0.26801	0.10312		
482.6	0.29314	0.13582		
482.5	0.30989	0.14336		
482.4	0.27639	0.12576		
482.3	0.34339	0.12827		
482.2	0.33501	0.1333		
482.1	0.40202	0.1333		
482	0.37689	0.14336		
481.9	0.35176	0.14588		
481.8	0.38526	0.15342		
481.7	0.40202	0.16097		
481.6	0.44389	0.18109		
481.5	0.45227	0.18863		
481.4	0.43552	0.18612		
481.3	0.44389	0.19115		
481.2	0.59465	0.19115		
481.1	0.56952	0.19115		
481	0.5779	0.17606		
480.9	0.58627	0.19115		
480.8	0.58627	0.19366		
480.7	0.61977	0.19869		
480.6	0.63652	0.20875		
480.5	0.6449	0.23642		
480.4	0.6449	0.23642		
480.3	0.6449	0.24145		
480.2	0.70353	0.25906		
480.1	0.75378	0.28924		
480	0.68678	0.30181		
479.9	0.70353	0.3169		
479.8	0.79566	0.31942		
479.7	0.86266	0.3169		
479.6	0.97991	0.34709		
479.5	1.07204	0.33954		
479.4	0.92966	0.34709		
479.3	1.03854	0.35212		
479.2	1.00504	0.35463		
479.1	1.03016	0.37475		
479	0.97991	0.39487		
478.9	1.12229	0.41248		
478.8	1.13904	0.41499		
478.7	1.12229	0.41499		
478.6	1.2563	0.41499		
478.5	1.33168	0.41499		
478.4	1.38193	0.4326		
478.3	1.38193	0.47787		
478.2	1.38193	0.44517		
478.1	1.38193	0.49799		
478	1.38193	0.51811		
477.9	1.44893	0.51308		
477.8	1.44056	0.5332		
477.7	1.52431	0.55332		
477.6	1.58294	0.55584		
477.5	1.58294	0.55332		
477.4	1.61644	0.57848		
477.3	1.62481	0.56338		
477.2	1.70857	0.58602		
477.1	1.75044	0.63381		
477	1.77557	0.63632		
476.9	1.8342	0.64387		
476.8	1.75882	0.66399		
476.7	2.05195	0.6665		
476.6	2.07708	0.71681		
476.5	2.07708	0.75202		
476.4	2.11058	0.77717		
476.3	2.31996	0.79226		
476.2	2.15246	0.82244		
476.1	2.20271	0.84759		
476	2.31159	0.85765		
475.9	2.34509	0.85765		
475.8	2.43722	0.87777		
475.7	2.49585	0.89035		
475.6	2.4791	0.88783		
475.5	2.60473	0.92556		
475.4	2.67173	0.9482		
475.3	2.6801	0.98844		
475.2	2.81411	1.00353		
475.1	2.85598	1.02617		
475	2.85598	1.06641		
474.9	2.85598	1.07898		
474.8	2.97324	1.09659		
474.7	2.91461	1.12174		
474.6	3.14912	1.14689		
474.5	3.41713	1.16953		
474.4	3.35013	1.15947		
474.3	3.39201	1.2148		
474.2	3.52601	1.25504		
474.1	3.56789	1.29025		
474	3.66002	1.31037		
473.9	3.73539	1.32798		
473.8	3.89452	1.37325		
473.7	3.97828	1.42858		
473.6	4.07041	1.45625		
473.5	4.12903	1.49901		
473.4	4.17929	1.50907		
473.3	4.27141	1.52164		
473.2	4.33004	1.57194		
473.1	4.43055	1.6147		
473	4.57293	1.63231		
472.9	4.66505	1.65494		
472.8	4.78231	1.66249		
472.7	4.84094	1.7304		
472.6	5.01682	1.74297		
472.5	5.06707	1.82346		
472.4	5.06707	1.8637		
472.3	5.20108	1.93161		
472.2	5.41883	1.97185		
472.1	5.47746	2.0146		
472	5.62822	2.05736		
471.9	5.75385	2.07245		
471.8	5.81247	2.14288		
471.7	5.88785	2.15294		
471.6	6.06373	2.19066		
471.5	5.92135	2.19066		
471.4	6.31499	2.29378		
471.3	6.49087	2.35163		
471.2	6.59138	2.3969		
471.1	6.72538	2.43966		
471	6.92639	2.49499		
470.9	7.05202	2.54026		
470.8	7.24465	2.60063		
470.7	7.27815	2.62326		
470.6	7.41216	2.66099		
