nm	Orig	F5	F7	F9
487.6	0.01675	0.00252	0.02795	0.02039
487.5	0.0335	0.00503	0.02568	0.01888
487.4	0.02513	0.00252	0.02946	0.01813
487.3	0.02513	0.00755	0.02644	0.01737
487.2	0.01675	0.00755	0.03248	0.02115
487.1	0.04188	0.01258	0.03097	0.02039
487	0.02513	0.02012	0.05363	0.0219
486.9	0.05025	0.02012	0.03399	0.02039
486.8	0.0335	0.01761	0.03928	0.02266
486.7	0.0335	0.02515	0.04003	0.0219
486.6	0.04188	0.02012	0.04079	0.01964
486.5	0.04188	0.02012	0.04834	0.02039
486.4	0.04188	0.02767	0.04456	0.02341
486.3	0.04188	0.02767	0.04305	0.02039
486.2	0.02513	0.02264	0.04154	0.02039
486.1	0.04188	0.02515	0.03625	0.01964
486	0.05863	0.02767	0.02946	0.01737
485.9	0.24288	0.02515	0.03399	0.02341
485.8	0.04188	0.02264	0.04456	0.02115
485.7	0.1005	0.02767	0.03701	0.0219
485.6	0.067	0.03521	0.03928	0.02266
485.5	0.067	0.02264	0.04154	0.02039
485.4	0.23451	0.04024	0.03474	0.02115
485.3	0.09213	0.03773	0.03852	0.02417
485.2	0.08375	0.11066	0.04456	0.02266
485.1	0.10888	0.03521	0.04683	0.02417
485	0.08375	0.03521	0.04532	0.02492
484.9	0.10888	0.04276	0.05136	0.0219
484.8	0.1005	0.04024	0.05438	0.0219
484.7	0.13401	0.04527	0.05211	0.02266
484.6	0.12563	0.04276	0.05816	0.02341
484.5	0.12563	0.04527	0.05816	0.02266
484.4	0.1005	0.05533	0.05816	0.02266
484.3	0.12563	0.06791	0.05665	0.02341
484.2	0.16751	0.06791	0.05665	0.02568
484.1	0.18426	0.06288	0.05514	0.02946
484	0.15076	0.06288	0.05816	0.03021
483.9	0.19263	0.07042	0.05816	0.0287
483.8	0.16751	0.06036	0.06571	0.0355
483.7	0.15076	0.07042	0.071	0.03172
483.6	0.17588	0.07042	0.08082	0.0287
483.5	0.21776	0.07294	0.09139	0.02946
483.4	0.25964	0.08048	0.09366	0.02795
483.3	0.22613	0.1006	0.09819	0.05136
483.2	0.25126	0.07545	0.09743	0.03852
483.1	0.23451	0.07545	0.0929	0.0355
483	0.25964	0.09557	0.0929	0.05363
482.9	0.28476	0.10312	0.10196	0.0423
482.8	0.27639	0.10815	0.10347	0.05891
482.7	0.26801	0.10312	0.10574	0.04154
482.6	0.29314	0.13582	0.11027	0.04305
482.5	0.30989	0.14336	0.12009	0.04154
482.4	0.27639	0.12576	0.12311	0.04909
482.3	0.34339	0.12827	0.12311	0.05816
482.2	0.33501	0.1333	0.12462	0.04909
482.1	0.40202	0.1333	0.12462	0.05287
482	0.37689	0.14336	0.12462	0.05211
481.9	0.35176	0.14588	0.14653	0.05514
481.8	0.38526	0.15342	0.12764	0.05136
481.7	0.40202	0.16097	0.12462	0.05363
481.6	0.44389	0.18109	0.1284	0.04985
481.5	0.45227	0.18863	0.12689	0.05363
481.4	0.43552	0.18612	0.13142	0.05589
481.3	0.44389	0.19115	0.13293	0.05665
481.2	0.59465	0.19115	0.14804	0.05891
481.1	0.56952	0.19115	0.15483	0.0642
481	0.5779	0.17606	0.16692	0.06571
480.9	0.58627	0.19115	0.16088	0.06269
480.8	0.58627	0.19366	0.16843	0.06722
480.7	0.61977	0.19869	0.17523	0.07251
480.6	0.63652	0.20875	0.18429	0.08082
480.5	0.6449	0.23642	0.19109	0.07553
480.4	0.6449	0.23642	0.19109	0.07553
480.3	0.6449	0.24145	0.20468	0.08006
480.2	0.70353	0.25906	0.20619	0.07779
480.1	0.75378	0.28924	0.20619	0.07704
480	0.68678	0.30181	0.20242	0.07779
479.9	0.70353	0.3169	0.20695	0.08308
479.8	0.79566	0.31942	0.21752	0.08761
479.7	0.86266	0.3169	0.22432	0.08459
479.6	0.97991	0.34709	0.24396	0.08308
479.5	1.07204	0.33954	0.23338	0.09139
479.4	0.92966	0.34709	0.23641	0.09517
479.3	1.03854	0.35212	0.25453	0.09139
479.2	1.00504	0.35463	0.24547	0.09215
479.1	1.03016	0.37475	0.25755	0.09441
479	0.97991	0.39487	0.25755	0.10725
478.9	1.12229	0.41248	0.25982	0.12085
478.8	1.13904	0.41499	0.27493	0.1065
478.7	1.12229	0.41499	0.26813	0.11858
478.6	1.2563	0.41499	0.27266	0.11934
478.5	1.33168	0.41499	0.29079	0.12311
478.4	1.38193	0.4326	0.30589	0.12689
478.3	1.38193	0.47787	0.31496	0.13369
478.2	1.38193	0.44517	0.32402	0.13897
478.1	1.38193	0.49799	0.32402	0.1352
478	1.38193	0.51811	0.33686	0.14124
477.9	1.44893	0.51308	0.33837	0.12991
477.8	1.44056	0.5332	0.35348	0.14577
477.7	1.52431	0.55332	0.35725	0.14879
477.6	1.58294	0.55584	0.36027	0.15257
477.5	1.58294	0.55332	0.37311	0.15332
477.4	1.61644	0.57848	0.37764	0.15634
477.3	1.62481	0.56338	0.38293	0.1571
477.2	1.70857	0.58602	0.39351	0.16314
477.1	1.75044	0.63381	0.38973	0.18051
477	1.77557	0.63632	0.40181	0.17598
476.9	1.8342	0.64387	0.41616	0.18127
476.8	1.75882	0.66399	0.429	0.18656
476.7	2.05195	0.6665	0.4494	0.18882
476.6	2.07708	0.71681	0.45619	0.19864
476.5	2.07708	0.75202	0.45997	0.19864
476.4	2.11058	0.77717	0.46903	0.20015
476.3	2.31996	0.79226	0.48338	0.22054
476.2	2.15246	0.82244	0.49018	0.19789
476.1	2.20271	0.84759	0.50227	0.20468
476	2.31159	0.85765	0.51209	0.21375
475.9	2.34509	0.85765	0.52342	0.21979
475.8	2.43722	0.87777	0.55061	0.2281
475.7	2.49585	0.89035	0.57704	0.23263
475.6	2.4791	0.88783	0.58308	0.23867
475.5	2.60473	0.92556	0.59215	0.24849
475.4	2.67173	0.9482	0.60801	0.25831
475.3	2.6801	0.98844	0.61329	0.26662
475.2	2.81411	1.00353	0.61405	0.28172
475.1	2.85598	1.02617	0.62462	0.28474
475	2.85598	1.06641	0.63369	0.29154
474.9	2.85598	1.07898	0.64351	0.2923
474.8	2.97324	1.09659	0.66919	0.29683
474.7	2.91461	1.12174	0.67447	0.29985
474.6	3.14912	1.14689	0.69336	0.29607
474.5	3.41713	1.16953	0.70393	0.30514
474.4	3.35013	1.15947	0.72055	0.30589
474.3	3.39201	1.2148	0.72885	0.31118
474.2	3.52601	1.25504	0.74623	0.32175
474.1	3.56789	1.29025	0.76586	0.33308
474	3.66002	1.31037	0.78475	0.33535
473.9	3.73539	1.32798	0.79985	0.35801
473.8	3.89452	1.37325	0.82326	0.36027
473.7	3.97828	1.42858	0.84517	0.36783
473.6	4.07041	1.45625	0.86178	0.3852
473.5	4.12903	1.49901	0.892	0.39728
473.4	4.17929	1.50907	0.90559	0.40937
473.3	4.27141	1.52164	0.91843	0.42296
473.2	4.33004	1.57194	0.9358	0.429
473.1	4.43055	1.6147	0.95846	0.43807
473	4.57293	1.63231	0.9781	0.4426
472.9	4.66505	1.65494	0.99547	0.4494
472.8	4.78231	1.66249	1.00604	0.45468
472.7	4.84094	1.7304	1.02417	0.45997
472.6	5.01682	1.74297	1.04305	0.46828
472.5	5.06707	1.82346	1.05816	0.47734
472.4	5.06707	1.8637	1.06722	0.4932
472.3	5.20108	1.93161	1.0929	0.50604
472.2	5.41883	1.97185	1.12462	0.51662
472.1	5.47746	2.0146	1.15333	0.52568
472	5.62822	2.05736	1.16919	0.53928
471.9	5.75385	2.07245	1.20469	0.55514
471.8	5.81247	2.14288	1.23943	0.56949
471.7	5.88785	2.15294	1.26284	0.58761
471.6	6.06373	2.19066	1.29305	0.60045
471.5	5.92135	2.19066	1.31798	0.61707
471.4	6.31499	2.29378	1.33611	0.62538
471.3	6.49087	2.35163	1.37009	0.63218
471.2	6.59138	2.3969	1.38822	0.63369
471.1	6.72538	2.43966	1.4207	0.64653
471	6.92639	2.49499	1.45015	0.65635
470.9	7.05202	2.54026	1.4917	0.6707
470.8	7.24465	2.60063	1.51435	0.68429
470.7	7.27815	2.62326	1.54985	0.6926
470.6	7.41216	2.66099	1.56873	0.70393
470.5	7.61317	2.73896	1.58006	0.71677
470.4	7.8058	2.79429	1.61481	0.72281
470.3	7.89793	2.83956	1.63747	0.73414
470.2	8.04031	2.92256	1.66012	0.74547
470.1	8.18269	2.97538	1.67599	0.75529
470	8.35857	3.02065	1.71904	0.77191
469.9	8.5177	3.0785	1.76511	0.78248
469.8	8.72709	3.11874	1.80514	0.79607
469.7	8.76896	3.19671	1.84215	0.81345
469.6	9.03697	3.26965	1.86934	0.83082
469.5	9.23798	3.40798	1.9071	0.85046
469.4	9.43061	3.39289	1.94109	0.8565
469.3	9.54787	3.4281	1.98263	0.85197
469.2	9.7405	3.48343	2.01662	0.86481
469.1	9.94988	3.51864	2.05212	0.90408
469	10.09226	3.58655	2.0778	0.92674
468.9	10.21789	3.64943	2.10423	0.94789
468.8	10.32677	3.73243	2.13747	0.96677
468.7	10.64503	3.79782	2.17976	0.98716
468.6	10.86279	3.89842	2.21602	1.00529
