nm	ZC37	ZC90	ZC84	ZC78	ZC88
800	0.06539	0.37475	0.12563	0.27639	0.12563	
799	0.07294	0.44769	0.05863	0.30989	0.09213	
798	0.07797	0.45021	0.08375	0.32664	0.09213	
797	0.06791	0.48039	0.08375	0.37689	0.10888	
796	0.07294	0.48039	0.07538	0.36851	0.09213	
795	0.07042	0.51057	0.1005	0.41039	0.09213	
794	0.06539	0.46781	0.08375	0.65328	0.10888	
793	0.07294	0.49548	0.067	0.41877	0.1005	
792	0.07042	0.48793	0.07538	0.41039	0.11725	
791	0.06288	0.48542	0.1005	0.42714	0.09213	
790	0.06791	0.49799	0.09213	0.42714	0.11725	
789	0.09306	0.4829	0.08375	0.36014	0.11725	
788	0.06288	0.46278	0.1005	0.38526	0.08375	
787	0.07294	0.47284	0.08375	0.41877	0.09213	
786	0.083	0.46278	0.1005	0.44389	0.07538	
785	0.06539	0.48793	0.09213	0.41039	0.09213	
784	0.06288	0.50554	0.10888	0.41039	0.10888	
783	0.07545	0.5156	0.067	0.49414	0.09213	
782	0.06539	0.51811	0.08375	0.39364	0.1005	
781	0.07042	0.51811	0.08375	0.43552	0.067	
780	0.07042	0.49045	0.067	0.45227	0.09213	
779	0.08048	0.47787	0.07538	0.41039	0.11725	
778	0.07797	0.50805	0.07538	0.44389	0.08375	
777	0.07042	0.50302	0.13401	0.38526	0.08375	
776	0.07797	0.51057	0.1005	0.42714	0.09213	
775	0.07042	0.55081	0.08375	0.44389	0.08375	
774	0.07294	0.51308	0.07538	0.42714	0.1005	
773	0.08048	0.51308	0.09213	0.43552	0.09213	
772	0.07294	0.50302	0.09213	0.46064	0.08375	
771	0.07042	0.4326	0.11725	0.44389	0.09213	
770	0.08551	0.49045	0.08375	0.44389	0.1005	
769	0.08048	0.51057	0.09213	0.44389	0.08375	
768	0.06288	0.49799	0.10888	0.36851	0.10888	
767	0.06288	0.5156	0.1005	0.46902	0.1005	
766	0.06791	0.50805	0.09213	0.48577	0.1005	
765	0.08803	0.51057	0.31826	0.47739	0.1005	
764	0.08048	0.5156	0.09213	0.45227	0.067	
763	0.07545	0.51057	0.10888	0.45227	0.09213	
762	0.09054	0.50554	0.29314	0.49414	0.11725	
761	0.083	0.52063	0.10888	0.52765	0.09213	
760	0.083	0.52566	0.1005	0.56115	0.1005	
759	0.10563	0.52314	0.11725	0.50252	0.1005	
758	0.09557	0.52566	0.1005	0.48577	0.08375	
757	0.11318	0.5332	0.13401	0.51927	0.067	
756	0.10563	0.53572	0.09213	0.5444	0.10888	
755	0.11066	0.54829	0.10888	0.51927	0.1005	
754	0.10563	0.55081	0.10888	0.51089	0.09213	
753	0.12827	0.54075	0.15913	0.48577	0.1005	
752	0.12827	0.53069	0.11725	0.51089	0.12563	
751	0.12324	0.53572	0.10888	0.51089	0.09213	
750	0.13079	0.56842	0.13401	0.5779	0.11725	
749	0.15091	0.58854	0.12563	0.62815	0.12563	
748	0.15845	0.58351	0.14238	0.52765	0.10888	
747	0.16851	0.58099	0.12563	0.5779	0.07538	
746	0.17857	0.60866	0.16751	0.5779	0.10888	
745	0.19115	0.60111	0.13401	0.61977	0.14238	
744	0.21127	0.60111	0.18426	0.63652	0.12563	
743	0.22888	0.66399	0.24288	0.63652	0.14238	
742	0.23894	0.60866	0.22613	0.63652	0.11725	
