nm	F0	F5	F9	F10
2500	19.9412	3.93640	1.33301	0.26086
2499	21.5030	4.28817	1.37325	0.28654
2498	21.7540	4.26304	1.34558	0.29711
2497	21.6703	4.24629	1.29528	0.29409
2496	21.8935	4.21279	1.28019	0.28956
2495	21.6703	4.25466	1.2651	0.27521
2494	21.9492	4.24629	1.26259	0.25784
2493	22.0608	4.26304	1.27768	0.23216
2492	22.2839	4.18766	1.28522	0.21705
2491	22.2560	4.19604	1.29528	0.21479
2490	22.3955	4.22954	1.33049	0.21781
2489	22.3955	4.24629	1.38583	0.23971
2488	22.5628	4.25466	1.45625	0.2669
2487	22.7302	4.33004	1.4814	0.29334
2486	22.7859	4.38029	1.52416	0.31902
2485	22.9812	4.48080	1.59207	0.33563
2484	23.0927	4.51430	1.62728	0.34847
2483	23.2880	4.59805	1.68009	0.34923
2482	23.5669	4.60643	1.72034	0.34923
2481	23.7063	4.72368	1.748	0.35225
2480	23.9015	4.75718	1.76561	0.35829
2479	24.0689	4.76556	1.75052	0.36887
2478	24.2362	4.79906	1.72788	0.39077
2477	24.3478	4.86606	1.70776	0.41041
2476	24.5988	4.91631	1.67506	0.42174
2475	24.8777	4.98332	1.64488	0.42476
2474	25.0450	5.03357	1.6147	0.42325
2473	25.3797	5.06707	1.58704	0.41645
2472	25.5749	5.11732	1.57194	0.41192
2471	25.9933	5.16757	1.55685	0.42098
2470	26.0769	5.11732	1.54679	0.44062
2469	26.1327	5.14245	1.57949	0.46554
2468	26.3279	5.14245	1.58201	0.50482
2467	26.3837	5.18432	1.60716	0.54107
2466	26.6905	5.16757	1.65746	0.57808
2465	26.9136	5.13407	1.68261	0.6166
2464	27.3041	5.20945	1.73291	0.63926
2463	27.3041	5.29320	1.75303	0.65134
2462	27.6667	5.30158	1.79579	0.6521
2461	27.6667	5.38533	1.82094	0.6453
2460	27.7224	5.45233	1.85867	0.62944
2459	27.9456	5.45233	1.87376	0.62944
2458	28.1966	5.58634	1.89639	0.61736
2457	28.5034	5.65334	1.89891	0.59621
2456	28.5312	5.74547	1.90645	0.57204
2455	28.6707	5.80410	1.89639	0.54258
2454	28.8938	5.89623	1.89891	0.49878
2453	29.1448	5.96323	1.90142	0.4595
2452	29.3122	5.94648	1.87376	0.42174
2451	29.5074	5.99673	1.8637	0.39228
2450	29.5632	5.95485	1.86873	0.35678
2449	29.6189	5.97160	1.87376	0.32204
2448	29.8421	5.94648	1.87627	0.28578
2447	29.9815	5.95485	1.89136	0.26464
2446	30.1489	5.94648	1.92658	0.25406
2445	30.2046	5.96323	1.92909	0.26388
2444	30.3162	5.89623	1.94167	0.28125
2443	30.3441	5.92135	1.95424	0.30165
2442	30.3720	5.91298	1.9643	0.33412
2441	30.3999	5.94648	1.96682	0.36811
2440	30.4835	6.03023	1.96933	0.40512
2439	30.7624	6.04698	1.9643	0.44968
2438	30.8182	6.04698	1.94921	0.49047
2437	30.7624	6.03861	1.94167	0.53276
2436	31.0413	6.08886	1.914	0.56826
2435	31.2644	6.07211	1.89136	0.59092
2434	31.4318	6.09723	1.87376	0.59017
2433	31.4318	6.07211	1.90897	0.58488
2432	31.4318	6.08048	1.94167	0.5743
2431	31.6270	6.15586	1.99951	0.57053
2430	31.5991	6.20611	2.08503	0.58035
2429	31.8222	6.30662	2.14288	0.60603
2428	31.9059	6.37362	2.2133	0.63397
2427	32.1569	6.50763	2.28372	0.65965
2426	32.4358	6.55788	2.35414	0.674
2425	32.7426	6.65838	2.40696	0.67702
2424	33.0494	6.75889	2.44217	0.67023
2423	33.1888	6.84264	2.48745	0.66418
2422	33.6351	6.92639	2.5126	0.66418
2421	33.8303	6.95989	2.51763	0.67476
2420	34.1092	7.09390	2.51763	0.69742
2419	34.4160	7.10227	2.5126	0.72461
2418	34.7228	7.11902	2.4799	0.74878
2417	35.0296	7.20278	2.46229	0.76464
2416	35.3921	7.26140	2.45475	0.75633
