nm	f1	f2	f3	f4
800	0.12563	0.27639	0.12563	0.37475
799	0.05863	0.30989	0.09213	0.44769
798	0.08375	0.32664	0.09213	0.45021
797	0.08375	0.37689	0.10888	0.48039
796	0.07538	0.36851	0.09213	0.48039
795	0.10050	0.41039	0.09213	0.51057
794	0.08375	0.65328	0.10888	0.46781
793	0.06700	0.41877	0.10050	0.49548
792	0.07538	0.41039	0.11725	0.48793
791	0.10050	0.42714	0.09213	0.48542
790	0.09213	0.42714	0.11725	0.49799
789	0.08375	0.36014	0.11725	0.48290
788	0.10050	0.38526	0.08375	0.46278
787	0.08375	0.41877	0.09213	0.47284
786	0.10050	0.44389	0.07538	0.46278
785	0.09213	0.41039	0.09213	0.48793
784	0.10888	0.41039	0.10888	0.50554
783	0.06700	0.49414	0.09213	0.51560
782	0.08375	0.39364	0.10050	0.51811
781	0.08375	0.43552	0.06700	0.51811
780	0.06700	0.45227	0.09213	0.49045
779	0.07538	0.41039	0.11725	0.47787
778	0.07538	0.44389	0.08375	0.50805
777	0.13401	0.38526	0.08375	0.50302
776	0.10050	0.42714	0.09213	0.51057
775	0.08375	0.44389	0.08375	0.55081
774	0.07538	0.42714	0.10050	0.51308
773	0.09213	0.43552	0.09213	0.51308
772	0.09213	0.46064	0.08375	0.50302
771	0.11725	0.44389	0.09213	0.43260
770	0.08375	0.44389	0.10050	0.49045
769	0.09213	0.44389	0.08375	0.51057
768	0.10888	0.36851	0.10888	0.49799
767	0.10050	0.46902	0.10050	0.51560
766	0.09213	0.48577	0.10050	0.50805
765	0.31826	0.47739	0.10050	0.51057
764	0.09213	0.45227	0.06700	0.51560
763	0.10888	0.45227	0.09213	0.51057
762	0.29314	0.49414	0.11725	0.50554
761	0.10888	0.52765	0.09213	0.52063
760	0.10050	0.56115	0.10050	0.52566
759	0.11725	0.50252	0.10050	0.52314
758	0.10050	0.48577	0.08375	0.52566
757	0.13401	0.51927	0.06700	0.53320
756	0.09213	0.54440	0.10888	0.53572
755	0.10888	0.51927	0.10050	0.54829
